suite,task_id,trial_id,success,executed_steps,waves,elapsed_seconds,mean_inference_wave_seconds,actions_finite,model_seed,environment_seed,max_steps,solver_release_policy,model_seed_rule,task_description,trajectory
libero_spatial,5,0,False,480,60,284.97571302892175,4.60367972732972,True,0,0,480,uniform,fixed,pick up the black bowl on the ramekin and place it on the plate,/mnt/project_eai_hs/zrm2/eval_isolated/dreamzero_feedback_a051933_kp00486968_20260727/runs/formal_libero40_fbfm_kp00486968_20_a051933/shards/gpu5/tasks/libero_spatial/task_005/trajectories/trial_000.npz
libero_spatial,5,1,True,218,28,125.89380794297904,4.2597352856256325,True,0,0,480,uniform,fixed,pick up the black bowl on the ramekin and place it on the plate,/mnt/project_eai_hs/zrm2/eval_isolated/dreamzero_feedback_a051933_kp00486968_20260727/runs/formal_libero40_fbfm_kp00486968_20_a051933/shards/gpu5/tasks/libero_spatial/task_005/trajectories/trial_001.npz
libero_spatial,5,2,False,480,60,281.8283794539748,4.54925178531481,True,0,0,480,uniform,fixed,pick up the black bowl on the ramekin and place it on the plate,/mnt/project_eai_hs/zrm2/eval_isolated/dreamzero_feedback_a051933_kp00486968_20260727/runs/formal_libero40_fbfm_kp00486968_20_a051933/shards/gpu5/tasks/libero_spatial/task_005/trajectories/trial_002.npz
libero_spatial,5,3,False,480,60,266.2515843510628,4.313067478952227,True,0,0,480,uniform,fixed,pick up the black bowl on the ramekin and place it on the plate,/mnt/project_eai_hs/zrm2/eval_isolated/dreamzero_feedback_a051933_kp00486968_20260727/runs/formal_libero40_fbfm_kp00486968_20_a051933/shards/gpu5/tasks/libero_spatial/task_005/trajectories/trial_003.npz
libero_spatial,5,4,False,480,60,270.0752802740317,4.372570521196304,True,0,0,480,uniform,fixed,pick up the black bowl on the ramekin and place it on the plate,/mnt/project_eai_hs/zrm2/eval_isolated/dreamzero_feedback_a051933_kp00486968_20260727/runs/formal_libero40_fbfm_kp00486968_20_a051933/shards/gpu5/tasks/libero_spatial/task_005/trajectories/trial_004.npz
libero_spatial,5,5,False,480,60,274.94482221791986,4.448611976575015,True,0,0,480,uniform,fixed,pick up the black bowl on the ramekin and place it on the plate,/mnt/project_eai_hs/zrm2/eval_isolated/dreamzero_feedback_a051933_kp00486968_20260727/runs/formal_libero40_fbfm_kp00486968_20_a051933/shards/gpu5/tasks/libero_spatial/task_005/trajectories/trial_005.npz
libero_spatial,5,6,True,225,29,131.82684865000192,4.320031953599149,True,0,0,480,uniform,fixed,pick up the black bowl on the ramekin and place it on the plate,/mnt/project_eai_hs/zrm2/eval_isolated/dreamzero_feedback_a051933_kp00486968_20260727/runs/formal_libero40_fbfm_kp00486968_20_a051933/shards/gpu5/tasks/libero_spatial/task_005/trajectories/trial_006.npz
libero_spatial,5,7,False,480,60,268.69889518700074,4.355779551481064,True,0,0,480,uniform,fixed,pick up the black bowl on the ramekin and place it on the plate,/mnt/project_eai_hs/zrm2/eval_isolated/dreamzero_feedback_a051933_kp00486968_20260727/runs/formal_libero40_fbfm_kp00486968_20_a051933/shards/gpu5/tasks/libero_spatial/task_005/trajectories/trial_007.npz
libero_spatial,5,8,False,480,60,271.160878938972,4.387621708941402,True,0,0,480,uniform,fixed,pick up the black bowl on the ramekin and place it on the plate,/mnt/project_eai_hs/zrm2/eval_isolated/dreamzero_feedback_a051933_kp00486968_20260727/runs/formal_libero40_fbfm_kp00486968_20_a051933/shards/gpu5/tasks/libero_spatial/task_005/trajectories/trial_008.npz
libero_spatial,5,9,False,480,60,269.02319041092414,4.34774165595958,True,0,0,480,uniform,fixed,pick up the black bowl on the ramekin and place it on the plate,/mnt/project_eai_hs/zrm2/eval_isolated/dreamzero_feedback_a051933_kp00486968_20260727/runs/formal_libero40_fbfm_kp00486968_20_a051933/shards/gpu5/tasks/libero_spatial/task_005/trajectories/trial_009.npz
