suite,task_id,trial_id,success,executed_steps,waves,elapsed_seconds,mean_inference_wave_seconds,actions_finite,model_seed,environment_seed,max_steps,solver_release_policy,model_seed_rule,task_description,trajectory
libero_spatial,2,0,True,115,15,79.63343654002529,4.785040016919083,True,0,0,480,uniform,fixed,pick up the black bowl from table center and place it on the plate,/mnt/project_eai_hs/zrm2/eval_isolated/dreamzero_feedback_cb08c9e_20260726/runs/formal_libero40_fbfm_l1mass_20_cb08c9e/shards/gpu2/tasks/libero_spatial/task_002/trajectories/trial_000.npz
libero_spatial,2,1,True,114,15,67.25864707794972,4.089958739990834,True,0,0,480,uniform,fixed,pick up the black bowl from table center and place it on the plate,/mnt/project_eai_hs/zrm2/eval_isolated/dreamzero_feedback_cb08c9e_20260726/runs/formal_libero40_fbfm_l1mass_20_cb08c9e/shards/gpu2/tasks/libero_spatial/task_002/trajectories/trial_001.npz
libero_spatial,2,2,True,104,13,60.74858137499541,4.200567462348512,True,0,0,480,uniform,fixed,pick up the black bowl from table center and place it on the plate,/mnt/project_eai_hs/zrm2/eval_isolated/dreamzero_feedback_cb08c9e_20260726/runs/formal_libero40_fbfm_l1mass_20_cb08c9e/shards/gpu2/tasks/libero_spatial/task_002/trajectories/trial_002.npz
libero_spatial,2,3,True,108,14,63.005153135047294,4.082434064134334,True,0,0,480,uniform,fixed,pick up the black bowl from table center and place it on the plate,/mnt/project_eai_hs/zrm2/eval_isolated/dreamzero_feedback_cb08c9e_20260726/runs/formal_libero40_fbfm_l1mass_20_cb08c9e/shards/gpu2/tasks/libero_spatial/task_002/trajectories/trial_003.npz
libero_spatial,2,4,True,105,14,61.58995805901941,3.9833338634188595,True,0,0,480,uniform,fixed,pick up the black bowl from table center and place it on the plate,/mnt/project_eai_hs/zrm2/eval_isolated/dreamzero_feedback_cb08c9e_20260726/runs/formal_libero40_fbfm_l1mass_20_cb08c9e/shards/gpu2/tasks/libero_spatial/task_002/trajectories/trial_004.npz
libero_spatial,2,5,True,108,14,62.833060859004036,4.070941925739559,True,0,0,480,uniform,fixed,pick up the black bowl from table center and place it on the plate,/mnt/project_eai_hs/zrm2/eval_isolated/dreamzero_feedback_cb08c9e_20260726/runs/formal_libero40_fbfm_l1mass_20_cb08c9e/shards/gpu2/tasks/libero_spatial/task_002/trajectories/trial_005.npz
libero_spatial,2,6,True,117,15,67.41489817691036,4.095500799077854,True,0,0,480,uniform,fixed,pick up the black bowl from table center and place it on the plate,/mnt/project_eai_hs/zrm2/eval_isolated/dreamzero_feedback_cb08c9e_20260726/runs/formal_libero40_fbfm_l1mass_20_cb08c9e/shards/gpu2/tasks/libero_spatial/task_002/trajectories/trial_006.npz
libero_spatial,2,7,True,113,15,66.14717751496937,4.019867847433488,True,0,0,480,uniform,fixed,pick up the black bowl from table center and place it on the plate,/mnt/project_eai_hs/zrm2/eval_isolated/dreamzero_feedback_cb08c9e_20260726/runs/formal_libero40_fbfm_l1mass_20_cb08c9e/shards/gpu2/tasks/libero_spatial/task_002/trajectories/trial_007.npz
libero_spatial,2,8,True,127,16,73.4486486519454,4.198824269039666,True,0,0,480,uniform,fixed,pick up the black bowl from table center and place it on the plate,/mnt/project_eai_hs/zrm2/eval_isolated/dreamzero_feedback_cb08c9e_20260726/runs/formal_libero40_fbfm_l1mass_20_cb08c9e/shards/gpu2/tasks/libero_spatial/task_002/trajectories/trial_008.npz
libero_spatial,2,9,True,113,15,65.03470886603463,3.953458160875016,True,0,0,480,uniform,fixed,pick up the black bowl from table center and place it on the plate,/mnt/project_eai_hs/zrm2/eval_isolated/dreamzero_feedback_cb08c9e_20260726/runs/formal_libero40_fbfm_l1mass_20_cb08c9e/shards/gpu2/tasks/libero_spatial/task_002/trajectories/trial_009.npz
libero_spatial,2,10,True,110,14,64.23488623904996,4.150563605735078,True,0,0,480,uniform,fixed,pick up the black bowl from table center and place it on the plate,/mnt/project_eai_hs/zrm2/eval_isolated/dreamzero_feedback_cb08c9e_20260726/runs/formal_libero40_fbfm_l1mass_20_cb08c9e/shards/gpu2/tasks/libero_spatial/task_002/trajectories/trial_010.npz
libero_spatial,2,11,False,480,60,270.54776127799414,4.387658009633849,True,0,0,480,uniform,fixed,pick up the black bowl from table center and place it on the plate,/mnt/project_eai_hs/zrm2/eval_isolated/dreamzero_feedback_cb08c9e_20260726/runs/formal_libero40_fbfm_l1mass_20_cb08c9e/shards/gpu2/tasks/libero_spatial/task_002/trajectories/trial_011.npz
libero_spatial,2,12,True,115,15,66.39044573099818,4.0388916710726335,True,0,0,480,uniform,fixed,pick up the black bowl from table center and place it on the plate,/mnt/project_eai_hs/zrm2/eval_isolated/dreamzero_feedback_cb08c9e_20260726/runs/formal_libero40_fbfm_l1mass_20_cb08c9e/shards/gpu2/tasks/libero_spatial/task_002/trajectories/trial_012.npz
libero_spatial,2,13,True,107,14,62.64559809397906,4.056783930460612,True,0,0,480,uniform,fixed,pick up the black bowl from table center and place it on the plate,/mnt/project_eai_hs/zrm2/eval_isolated/dreamzero_feedback_cb08c9e_20260726/runs/formal_libero40_fbfm_l1mass_20_cb08c9e/shards/gpu2/tasks/libero_spatial/task_002/trajectories/trial_013.npz
